env,actors,group_env_actors,run,run_disp,step,value
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,8000,-855.3151245117188
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,48000,-900.3447265625
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,88000,-864.8579711914062
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,128000,-754.6228637695312
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,168000,-682.8784790039062
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,208000,-791.63330078125
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,248000,-813.3572387695312
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,288000,-744.3505249023438
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,328000,-513.8402709960938
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,368000,-390.9163513183594
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,408000,-342.33953857421875
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,448000,-400.0010070800781
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,488000,-134.44598388671875
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,528000,-94.22030639648438
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,568000,-150.63775634765625
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,608000,-234.83071899414062
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,648000,-66.798828125
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,688000,6.5024309158325195
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,728000,77.57877349853516
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,768000,4.9529218673706055
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,808000,57.73191452026367
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,848000,-55.32189178466797
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,888000,52.53945541381836
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,928000,168.54920959472656
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,968000,124.63450622558594
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,1008000,96.7618408203125
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,1048000,137.97857666015625
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,1088000,153.6426544189453
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,1128000,184.39549255371094
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,1168000,123.38304138183594
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,1208000,95.34627532958984
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,1248000,173.50860595703125
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,1288000,243.88864135742188
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,1328000,38.67889404296875
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,1368000,104.49873352050781
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,1408000,169.5137939453125
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,1448000,210.1370849609375
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,1488000,214.3585968017578
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,1528000,226.5505828857422
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,1568000,236.18099975585938
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,1608000,237.79971313476562
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,1648000,243.3695526123047
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,1688000,247.7682647705078
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,1728000,223.26588439941406
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,1768000,224.96188354492188
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,1808000,190.89547729492188
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,1848000,286.73834228515625
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,1888000,296.10870361328125
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,1928000,291.68646240234375
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,1968000,221.67129516601562
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,2008000,261.98138427734375
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,2048000,300.1435241699219
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,2088000,291.7711486816406
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,2128000,226.19900512695312
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,2168000,290.7447814941406
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,2208000,331.7930603027344
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,2248000,263.3356018066406
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,2288000,234.275634765625
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,2328000,284.1771545410156
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,2368000,319.9453430175781
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,2408000,302.4233703613281
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,2448000,314.8945617675781
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,2488000,310.0152282714844
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,2528000,269.4091491699219
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,2568000,314.1251220703125
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,2608000,179.7061767578125
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,2648000,200.19326782226562
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,2688000,102.79642486572266
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,2728000,204.9622344970703
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,2768000,319.1783142089844
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,2808000,336.10357666015625
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,2848000,142.43319702148438
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,2888000,274.62738037109375
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,2928000,259.4005126953125
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,2968000,180.86956787109375
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,3008000,219.55654907226562
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,3048000,266.18182373046875
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,3088000,343.48150634765625
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,3128000,327.288330078125
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,3168000,270.9981689453125
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,3208000,270.45587158203125
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,3248000,350.7600402832031
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,3288000,213.33782958984375
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,3328000,360.95697021484375
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,3368000,320.7879638671875
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,3408000,322.3847961425781
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,3448000,335.2557067871094
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,3488000,304.1287536621094
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,3528000,307.4841613769531
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,3568000,288.1138610839844
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,3608000,262.6970520019531
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,3648000,317.1849670410156
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,3688000,356.5955505371094
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,3728000,299.9874267578125
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,3768000,207.3312225341797
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,3808000,258.6127624511719
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,3848000,329.7731018066406
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,3888000,328.6450500488281
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,3928000,451.68115234375
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,3968000,278.44525146484375
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,4008000,362.3285827636719
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,4048000,371.59539794921875
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,4088000,312.4314880371094
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,4128000,433.73309326171875
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,4168000,352.53662109375
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,4208000,272.3140869140625
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,4248000,357.6261901855469
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,4288000,361.3700866699219
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,4328000,404.3312072753906
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,4368000,318.0978698730469
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,4408000,417.82159423828125
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,4448000,311.96875
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,4488000,339.0044250488281
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,4528000,422.5748596191406
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,4568000,357.6501770019531
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,4608000,381.3102111816406
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,4648000,421.3955078125
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,4688000,419.84735107421875
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,4728000,344.7378234863281
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,4768000,333.49981689453125
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,4808000,414.30621337890625
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,4848000,436.4742431640625
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,4888000,295.3685607910156
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,4928000,430.57135009765625
SCEnv,1actor,SCEnv/1actor,run1,run1-r_mappo-Discrete#2906,4968000,403.9444580078125
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,8000,-851.6724853515625
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,48000,-959.3953247070312
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,88000,-648.0014038085938
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,128000,-408.8802490234375
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,168000,-452.8715515136719
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,208000,-398.1398010253906
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,248000,-286.21337890625
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,288000,-374.73504638671875
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,328000,-304.5328369140625
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,368000,-350.2594299316406
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,408000,-108.66267395019531
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,448000,-151.15087890625
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,488000,-205.9090118408203
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,528000,-88.0173568725586
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,568000,-170.5693359375
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,608000,-184.39077758789062
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,648000,-105.36500549316406
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,688000,-79.38955688476562
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,728000,-73.07743072509766
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,768000,-137.86045837402344
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,808000,-123.72199249267578
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,848000,-39.899559020996094
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,888000,-106.2398910522461
